code_from,pop_from
269,159230.18961854966
270,111597.8820797056
271,127182.85716778086
272,119415.08718616515
273,137830.39314123942
274,122867.74720148719
275,126102.55385569483
276,132788.28488334082
277,148451.1866993045
278,147600.02740522847
279,163110.94634191785
280,127535.41520049144
281,118570.58259794116
282,138187.16812096367
283,188128.95739993453
284,182699.89581768867
285,119636.8332257364
286,147066.49223446357
287,106092.925400862
288,113564.55027748144
289,178546.9832991655
290,115212.88425329328
291,110882.02702022064
292,174399.89115010388
293,126993.9048397541
294,173316.1051004706
295,176017.84417476668
296,121600.54879432544
297,194802.115728457
298,124767.2459490411
299,113185.83415592276
300,124370.89818228455
301,129376.8833765341
302,144003.76448999008
303,112222.75381817855
304,128269.38521811482
305,180070.83300569467
306,164198.24245339353
307,123821.5103841098
308,122611.9796869196
309,188434.1278244797
310,160315.48764475808
311,166174.87302253884
312,175559.73768110992
313,164737.6406923849
314,155709.07624541968
315,137461.77239763737
316,159609.77419767343
317,176436.5533349744
318,139996.37481505843
319,146330.09628196806
320,113011.88982122485
321,161927.8064970672
322,113987.44723719358
323,107567.6351750195
324,113178.34085520357
325,114338.03884787881
326,188926.96848326176
327,164179.05239748955
328,246498.05262074838
329,177398.93635297194
330,169532.53412417741
331,108136.34321965196
332,142437.27279944508
333,123267.1786558911
334,110786.42446025833
335,128892.41258205287
336,139490.34191019647
337,117719.57988372096
338,133579.29757253197
339,82682.00804024795
340,205755.47234271467
341,217985.07883712044
342,161597.04617939284
343,157255.48020750028
344,144134.41764471214
345,109160.03811791539
346,127774.49224240985
347,143191.68848625384
348,140216.68218831345
349,133343.79622844607
350,160318.69334077463
351,108769.49182249978
352,113062.87961139064
353,109816.42903048638
354,104575.1903385676
355,146942.81323492248
356,122901.41898166388
357,181473.52675161045
358,154633.59640631685
359,154536.36689857882
360,142308.09444277175
361,173468.43396510556
362,125904.84325747192
363,187817.9207413667
364,123270.4820163706
365,125742.1419993015
366,181647.11042472743
367,114747.39541601669
368,180680.1151271714
369,153722.70202686777
370,161689.29547634535
371,156225.9710717285
372,115214.30637093261
373,150306.4087827094
374,194726.31340929866
375,127214.95975374663
376,121888.17628671811
377,132581.28241411387
378,216173.30415959237
379,109418.06729064786
380,134812.15306121693
381,220094.0749538677
382,105724.94149485981
383,215381.46875956655
384,119750.07263784995
385,107333.04832373443
386,159724.7938222373
387,96606.8209879311
388,104918.44894695445
389,194746.33980804356
390,126179.68490701914
391,175428.38299956592
392,128272.48517392203
393,154086.45606524963
394,187340.38174759946
