CZ20,CZ2000,CZ2000_name,pop_overlap,share_of_CZ20,afactor,CZ20_total_pop,cells,grid_res_m,crs_epsg,method
272,77,NA,153418.67542581703,0.02826461837098664,0.02826461837098664,5427940.806138739,28991,100,5070,building_footprint_area
266,513,NA,16.62761676311493,3.223829186598805e-5,3.223829186598805e-5,515772.263376564,9,100,5070,building_footprint_area
266,408,NA,11.406613111495972,2.2115600084466023e-5,2.2115600084466023e-5,515772.263376564,6,100,5070,building_footprint_area
274,77,NA,8.126496613025665,2.6646330030147297e-5,2.6646330030147297e-5,304976.2051221109,3,100,5070,building_footprint_area
427,77,NA,562624.9188978899,0.7740617105740181,0.7740617105740181,726847.6288288,53708,100,5070,building_footprint_area
274,432,NA,4.292659759521484,1.4075392399229067e-5,1.4075392399229067e-5,304976.2051221109,2,100,5070,building_footprint_area
292,496,NA,18359.606520360103,1,1,18359.606520360103,10050,100,5070,building_footprint_area
290,537,NA,25215.944322309457,1,1,25215.944322309457,12422,100,5070,building_footprint_area
291,683,NA,8646.156969400705,0.999677833410722,0.999677833410722,8648.943369987071,3725,100,5070,building_footprint_area
283,179,NA,290222.1967144902,0.865154153495489,0.865154153495489,335457.20787665783,78303,100,5070,building_footprint_area
294,271,NA,137678.2071282803,0.9999676925295259,0.9999676925295259,137682.65530660143,32844,100,5070,building_footprint_area
277,356,NA,75242.68739912868,0.4034673889207309,0.4034673889207309,186490.13393722282,34135,100,5070,building_footprint_area
285,179,NA,5132.663751457818,0.9767733360949935,0.9767733360949935,5254.7132090823725,2276,100,5070,building_footprint_area
294,537,NA,2.1092941761016846,1.531997019816737e-5,1.531997019816737e-5,137682.65530660143,4,100,5070,building_footprint_area
291,179,NA,1.7037890553474426,1.9699389653305007e-4,1.9699389653305007e-4,8648.943369987071,2,100,5070,building_footprint_area
283,305,NA,44971.49393938319,0.13406030004255706,0.13406030004255706,335457.20787665783,22063,100,5070,building_footprint_area
291,305,NA,1.0826115310192108,1.2517269274487446e-4,1.2517269274487446e-4,8648.943369987071,2,100,5070,building_footprint_area
279,33,NA,273104.35417616105,0.8713828209880895,0.8713828209880895,313414.89365888474,34078,100,5070,building_footprint_area
279,271,NA,3.3609859943389893,1.0723759662797095e-5,1.0723759662797095e-5,313414.89365888474,1,100,5070,building_footprint_area
279,375,NA,40306.510879646754,0.12860432511390366,0.12860432511390366,313414.89365888474,17895,100,5070,building_footprint_area
277,305,NA,111232.56005259202,0.5964527865588624,0.5964527865588624,186490.13393722282,56900,100,5070,building_footprint_area
277,375,NA,7.75268742442131,4.157156875135848e-5,4.157156875135848e-5,186490.13393722282,7,100,5070,building_footprint_area
288,356,NA,0.07928270101547241,4.807823307095061e-7,4.807823307095061e-7,164903.52484142326,1,100,5070,building_footprint_area
288,415,NA,98944.57715984911,0.6000149314879565,0.6000149314879565,164903.52484142326,48400,100,5070,building_footprint_area
277,415,NA,3.2800170183181763,1.7588153051690718e-5,1.7588153051690718e-5,186490.13393722282,2,100,5070,building_footprint_area
279,415,NA,0.6676170825958252,2.1301383441032253e-6,2.1301383441032253e-6,313414.89365888474,2,100,5070,building_footprint_area
288,375,NA,13.250451058149338,8.035274607314436e-5,8.035274607314436e-5,164903.52484142326,6,100,5070,building_footprint_area
288,33,NA,2.6605396270751953,1.613391605566745e-5,1.613391605566745e-5,164903.52484142326,1,100,5070,building_footprint_area
278,555,NA,44737.43955099955,0.013026890879726498,0.013026890879726498,3434237.6829626765,24198,100,5070,building_footprint_area
283,555,NA,2.2571792602539063,6.728665258204362e-6,6.728665258204362e-6,335457.20787665783,2,100,5070,building_footprint_area
288,305,NA,3.206553339958191,1.9445026072315433e-5,1.9445026072315433e-5,164903.52484142326,3,100,5070,building_footprint_area
280,12,NA,355410.47699761204,0.9999091349181385,0.9999091349181385,355442.77433439903,84832,100,5070,building_footprint_area
280,415,NA,3.643879473209381,1.0251662816983403e-5,1.0251662816983403e-5,355442.77433439903,3,100,5070,building_footprint_area
277,12,NA,3.853781059384346,2.066479860367103e-5,2.066479860367103e-5,186490.13393722282,8,100,5070,building_footprint_area
288,12,NA,34.75592723488808,2.107652172281371e-4,2.107652172281371e-4,164903.52484142326,7,100,5070,building_footprint_area
278,305,NA,1.050926685333252,3.060145459782591e-7,3.060145459782591e-7,3434237.6829626765,2,100,5070,building_footprint_area
571,567,NA,61388.6086354251,0.3924455008553439,0.3924455008553439,156425.81836618646,34430,100,5070,building_footprint_area
288,451,NA,65904.48593716137,0.3996548042289413,0.3996548042289413,164903.52484142326,25589,100,5070,building_footprint_area
281,479,NA,30468.50923783926,0.8489394385548272,0.8489394385548272,35890.08574004599,15364,100,5070,building_footprint_area
278,12,NA,5.811578661203384,1.6922470713179654e-6,1.6922470713179654e-6,3434237.6829626765,4,100,5070,building_footprint_area
278,47,NA,3389481.6200989354,0.9869676862828171,0.9869676862828171,3434237.6829626765,297457,100,5070,building_footprint_area
280,47,NA,3.138216018676758,8.829033096968621e-6,8.829033096968621e-6,355442.77433439903,2,100,5070,building_footprint_area
281,451,NA,0.06446679681539536,1.7962285541007665e-6,1.7962285541007665e-6,35890.08574004599,1,100,5070,building_footprint_area
293,47,NA,140406.66645139735,0.652113496184533,0.652113496184533,215310.16805035656,25947,100,5070,building_footprint_area
284,491,NA,82010.58842298237,0.5737874399589722,0.5737874399589722,142928.51796973182,30110,100,5070,building_footprint_area
280,491,NA,0.45248618721961975,1.2730212002957267e-6,1.2730212002957267e-6,355442.77433439903,1,100,5070,building_footprint_area
288,491,NA,0.5089904516935349,3.0865953422341763e-6,3.0865953422341763e-6,164903.52484142326,3,100,5070,building_footprint_area
293,12,NA,8.726799726486206,4.053129401879984e-5,4.053129401879984e-5,215310.16805035656,3,100,5070,building_footprint_area
293,499,NA,74894.52638207877,0.3478448187572939,0.3478448187572939,215310.16805035656,24402,100,5070,building_footprint_area
280,499,NA,25.06275510787964,7.051136474728477e-5,7.051136474728477e-5,355442.77433439903,3,100,5070,building_footprint_area
284,499,NA,4.062191069126129,2.8421137550634824e-5,2.8421137550634824e-5,142928.51796973182,3,100,5070,building_footprint_area
284,479,NA,5.255549430847168,3.6770474538609175e-5,3.6770474538609175e-5,142928.51796973182,1,100,5070,building_footprint_area
476,301,NA,42271.52267646202,0.5238673304982435,0.5238673304982435,80691.27470930114,13737,100,5070,building_footprint_area
284,591,NA,30059.838373927632,0.21031379042419965,0.21031379042419965,142928.51796973182,13437,100,5070,building_footprint_area
278,144,NA,4.2961002588272095,1.250961830667764e-6,1.250961830667764e-6,3434237.6829626765,4,100,5070,building_footprint_area
278,499,NA,1.4708585739135742,4.2829259640663016e-7,4.2829259640663016e-7,3434237.6829626765,1,100,5070,building_footprint_area
284,437,NA,30846.427803114057,0.21581716679974566,0.21581716679974566,142928.51796973182,9968,100,5070,building_footprint_area
287,47,NA,0.15664665400981903,5.772035472169079e-7,5.772035472169079e-7,271388.9316258007,1,100,5070,building_footprint_area
282,47,NA,114.87136436998844,3.937262405072398e-4,3.937262405072398e-4,291754.4033184047,23,100,5070,building_footprint_area
282,566,NA,123025.5819887009,0.4216751507069374,0.4216751507069374,291754.4033184047,24385,100,5070,building_footprint_area
282,83,NA,168611.16332479403,0.5779215717295656,0.5779215717295656,291754.4033184047,36252,100,5070,building_footprint_area
293,591,NA,0.24841715395450592,1.1537641543078743e-6,1.1537641543078743e-6,215310.16805035656,1,100,5070,building_footprint_area
287,566,NA,1.0361500680446625,3.817952566589332e-6,3.817952566589332e-6,271388.9316258007,2,100,5070,building_footprint_area
284,83,NA,1.478413462638855,1.0343726246094154e-5,1.0343726246094154e-5,142928.51796973182,2,100,5070,building_footprint_area
296,204,NA,336975.8727561581,0.9999338542960472,0.9999338542960472,336998.1637369293,91108,100,5070,building_footprint_area
287,204,NA,1.1246499717235565,4.144052467380129e-6,4.144052467380129e-6,271388.9316258007,2,100,5070,building_footprint_area
295,437,NA,9384.503206340363,0.02987444339483608,0.02987444339483608,314131.4829638805,3639,100,5070,building_footprint_area
284,563,NA,0.8672157451510429,6.067478747206309e-6,6.067478747206309e-6,142928.51796973182,3,100,5070,building_footprint_area
286,83,NA,2.590618722140789,3.605193605590308e-5,3.605193605590308e-5,71857.96396963834,4,100,5070,building_footprint_area
286,437,NA,0.03205713629722595,4.4611807134934743e-7,4.4611807134934743e-7,71857.96396963834,1,100,5070,building_footprint_area
296,144,NA,2.639289617538452,7.83176260746263e-6,7.83176260746263e-6,336998.1637369293,1,100,5070,building_footprint_area
282,144,NA,0.4005867540836334,1.3730272774887827e-6,1.3730272774887827e-6,291754.4033184047,1,100,5070,building_footprint_area
185,144,NA,2.2971010208129883,1.2590125702381123e-5,1.2590125702381123e-5,182452.5882516444,1,100,5070,building_footprint_area
282,590,NA,2.3860537856817245,8.17829571222518e-6,8.17829571222518e-6,291754.4033184047,3,100,5070,building_footprint_area
185,83,NA,0.6741319894790649,3.6948337973111168e-6,3.6948337973111168e-6,182452.5882516444,1,100,5070,building_footprint_area
287,590,NA,0.6031043529510498,2.2222879516052943e-6,2.2222879516052943e-6,271388.9316258007,1,100,5070,building_footprint_area
286,11,NA,0.34171102941036224,4.755367540816257e-6,4.755367540816257e-6,71857.96396963834,2,100,5070,building_footprint_area
286,518,NA,0.4010748565196991,5.581494859625616e-6,5.581494859625616e-6,71857.96396963834,1,100,5070,building_footprint_area
191,563,NA,0.4724920690059662,6.953597503494193e-6,6.953597503494193e-6,67949.29800992052,1,100,5070,building_footprint_area
317,368,NA,16437.227837002603,0.553073586157414,0.553073586157414,29719.784579125233,8928,100,5070,building_footprint_area
320,295,NA,1.2558806985616684,4.2857058879588725e-5,4.2857058879588725e-5,29303.94038681453,4,100,5070,building_footprint_area
322,554,NA,54365.26699951338,0.9999200086074372,0.9999200086074372,54369.616100818384,23018,100,5070,building_footprint_area
307,554,NA,3.543559342622757,7.351560167409027e-5,7.351560167409027e-5,48201.46012450638,3,100,5070,building_footprint_area
322,253,NA,0.6943910121917725,1.2771673997185356e-5,1.2771673997185356e-5,54369.616100818384,1,100,5070,building_footprint_area
307,492,NA,2.391715779900551,4.961915621897447e-5,4.961915621897447e-5,48201.46012450638,2,100,5070,building_footprint_area
315,492,NA,42059.80207384587,0.9998622996138334,0.9998622996138334,42065.59452245594,19152,100,5070,building_footprint_area
141,253,NA,0.7012959718704224,4.593201173987415e-6,4.593201173987415e-6,152681.30989821604,1,100,5070,building_footprint_area
195,368,NA,40710.914095310494,0.2375994031815456,0.2375994031815456,171342.66143002047,15277,100,5070,building_footprint_area
141,554,NA,12.951609950512648,8.482773667023652e-5,8.482773667023652e-5,152681.30989821604,8,100,5070,building_footprint_area
317,492,NA,2.812376528978348,9.462977504062134e-5,9.462977504062134e-5,29719.784579125233,3,100,5070,building_footprint_area
315,368,NA,2.9028745889663696,6.900828627102189e-5,6.900828627102189e-5,42065.59452245594,2,100,5070,building_footprint_area
315,554,NA,2.889574021100998,6.869209989552038e-5,6.869209989552038e-5,42065.59452245594,3,100,5070,building_footprint_area
195,492,NA,2.315877676010132,1.3516059904065279e-5,1.3516059904065279e-5,171342.66143002047,1,100,5070,building_footprint_area
194,368,NA,22.428888987749815,1.0237959050520032e-5,1.0237959050520032e-5,2190757.83337994,13,100,5070,building_footprint_area
195,121,NA,4.476687774062157,2.6127105396285204e-5,2.6127105396285204e-5,171342.66143002047,3,100,5070,building_footprint_area
194,55,NA,3.27467942237854,1.4947701532698877e-6,1.4947701532698877e-6,2190757.83337994,3,100,5070,building_footprint_area
194,492,NA,8.751901879906654,3.994919815671303e-6,3.994919815671303e-6,2190757.83337994,10,100,5070,building_footprint_area
309,629,NA,24832.671700400067,0.06464258508447451,0.06464258508447451,384153.4441722727,7298,100,5070,building_footprint_area
309,85,NA,8.101297378540039,2.1088701667105273e-5,2.1088701667105273e-5,384153.4441722727,4,100,5070,building_footprint_area
311,671,NA,23271.064723001793,0.1368483159756418,0.1368483159756418,170050.06278004847,6822,100,5070,building_footprint_area
309,126,NA,359304.28835750883,0.9353145046810506,0.9353145046810506,384153.4441722727,80438,100,5070,building_footprint_area
309,492,NA,0.3422752320766449,8.909857174758335e-7,8.909857174758335e-7,384153.4441722727,1,100,5070,building_footprint_area
322,126,NA,3.654710292816162,6.721971856558962e-5,6.721971856558962e-5,54369.616100818384,2,100,5070,building_footprint_area
160,85,NA,0.7367720007896423,2.9798019161226636e-7,2.9798019161226636e-7,2472553.6177530033,2,100,5070,building_footprint_area
160,629,NA,11262.525908115786,0.004555017867863628,0.004555017867863628,2472553.6177530033,6178,100,5070,building_footprint_area
311,464,NA,146763.85811613663,0.8630626517672539,0.8630626517672539,170050.06278004847,51421,100,5070,building_footprint_area
