PUMA20_GISJOIN,CZ90,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state_fips,state,afactor,GISJOIN,STATEFP20,PUMACE20,GEOID20
G06007116,38300,"Los Angeles city, CA",111492.6377,1.0,111492.6377,4475,100,5070,building_footprint_area,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities PUMA",6,CA,1.0,G06007116,6,7116,607116
G06007105,38300,"Los Angeles city, CA",147139.8494,1.0,147139.8494,9317,100,5070,building_footprint_area,San Bernardino County (Southwest)--Redlands & Yucaipa Cities PUMA,6,CA,1.0,G06007105,6,7105,607105
G06003781,38300,"Los Angeles city, CA",103768.7561,1.0,103768.7561,2230,100,5070,building_footprint_area,Los Angeles County (Southeast)--Norwalk City PUMA,6,CA,1.0,G06003781,6,3781,603781
G06003762,38300,"Los Angeles city, CA",118497.9284,1.0,118497.9284,2959,100,5070,building_footprint_area,Los Angeles County (South Central)--Carson City PUMA,6,CA,1.0,G06003762,6,3762,603762
G06003782,38300,"Los Angeles city, CA",132639.144,1.0,132639.144,2485,100,5070,building_footprint_area,Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA,6,CA,1.0,G06003782,6,3782,603782
G06003761,38300,"Los Angeles city, CA",126156.9011,1.0,126156.9011,3243,100,5070,building_footprint_area,Los Angeles County (South Central)--Torrance City PUMA,6,CA,1.0,G06003761,6,3761,603761
G06006514,38300,"Los Angeles city, CA",174154.7451,1.0,174154.7451,7790,100,5070,building_footprint_area,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA,6,CA,1.0,G06006514,6,6514,606514
G06005906,38300,"Los Angeles city, CA",190879.6398,1.0,190879.6398,7240,100,5070,building_footprint_area,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA",6,CA,1.0,G06005906,6,5906,605906
G06003763,38300,"Los Angeles city, CA",145112.7287,1.0,145112.7287,2903,100,5070,building_footprint_area,Los Angeles County (South Central)--Long Beach City (North) PUMA,6,CA,1.0,G06003763,6,3763,603763
G06003767,38300,"Los Angeles city, CA",178648.0618,0.999958881,178655.4079,3800,100,5070,building_footprint_area,Los Angeles County (South)--LA City (South/San Pedro) PUMA,6,CA,0.999958881,G06003767,6,3767,603767
G06005907,38300,"Los Angeles city, CA",197286.2484,1.0,197286.2484,6161,100,5070,building_footprint_area,Orange County (North Central)--Fullerton & Placentia Cities PUMA,6,CA,1.0,G06005907,6,5907,605907
G06003764,38300,"Los Angeles city, CA",162782.7595,1.0,162782.7595,4344,100,5070,building_footprint_area,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA",6,CA,1.0,G06003764,6,3764,603764
G06006511,38300,"Los Angeles city, CA",170311.7821,1.0,170311.7821,6002,100,5070,building_footprint_area,Riverside County (Northwest)--Riverside City (West) PUMA,6,CA,1.0,G06006511,6,6511,606511
G06006520,38300,"Los Angeles city, CA",150844.7596,1.0,150844.7596,7199,100,5070,building_footprint_area,Riverside County (Northwest)--Riverside City (East) PUMA,6,CA,1.0,G06006520,6,6520,606520
G06003768,38300,"Los Angeles city, CA",108583.602,0.999384406,108650.4865,5797,100,5070,building_footprint_area,Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA,6,CA,0.999384406,G06003768,6,3768,603768
